Dan1,55,56,57,59,65,310,311,312,313,314
08:00,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС
11:30,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1
15:00,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,X
18:30,13Е033Т1,13Е033Т1,13Е033Т1,13Е033Т1,13Е033Т1,13Е033Т1,13Е033Т1,13Е033Т1,13Е033Т1,X

Dan2,55,56,57,59,65,310,311,312,313,314
08:00,X,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,X
11:30,X,13Е112АСП,13Е112АСП,13Е112АСП,13Е112АСП,13Е112АСП,13Е064НФ,13Е112АСП,13Е112АСП,X
15:00,X,13Е024РПОГ,13Е042ОЕ,13Е042ОЕ,13Е024РПОГ,13Е024РПОГ,13Е032ОТС,13Е024РПОГ,13Е024РПОГ,X
18:30,X,13Е072ГЕМ,13Е063КМ,13Е053ПО,13Е072ГЕМ,13Е072ГЕМ,X,13Е072ГЕМ,13Е063КМ,X

